Mr. Sean Casey,(09/05/1922 - 29/04/1967),Trade Union Official,The Labour Party members of the 17th Dáil,Cork Borough
Mr. Brendan Corish,(19/11/1918 - 17/02/1990),Full-Time Public Representative,The Labour Party members of the 17th Dáil,Wexford
Mr. Stephen Coughlan,(26/12/1910 - 20/12/1994),Turf Accountant and Publican,The Labour Party members of the 17th Dáil,Limerick East
Mr. Daniel Desmond,(03/10/1913 - 09/12/1964),The Labour Party (The Labour Party members of the 17th Dáil),The Labour Party members of the 17th Dáil,Cork South
Mrs. Eileen Desmond,(29/12/1932 - 06/01/2005),Former Civil Servant,The Labour Party members of the 17th Dáil,Cork Mid
Mr. James Everett,(01/05/1894 - 18/12/1967),Trade Union Secretary,The Labour Party members of the 17th Dáil,Kildare-Wicklow
Mr. Thomas Anthony Kyne,(04/02/1905 - 08/08/1981),Trade Union Official,The Labour Party members of the 17th Dáil,Waterford
Mr. Patrick McAuliffe,(01/08/1914 - 13/10/1989),Farmer,The Labour Party members of the 17th Dáil,Cork North
Mr. Michael Mullen,(01/02/1919 - 01/11/1982),General Secretary ITGWU,The Labour Party members of the 17th Dáil,Dublin North-West
Mr. Michael Pat Murphy,(12/03/1919 - 28/10/2000),Publican,The Labour Party members of the 17th Dáil,Cork West
Mr. William Norton,( - 04/12/1963),Trade Union Official,The Labour Party members of the 17th Dáil,Dublin County
Mr. Séamus Pattison,(19/04/1936 - ),Public Representative formerly Trade Union Official,The Labour Party members of the 17th Dáil,Carlow-Kilkenny
Mr. Daniel Spring,(01/07/1910 - 01/01/1988),Trade Union Official,The Labour Party members of the 17th Dáil,Kerry North
Mr. Patrick Tierney,( - 29/09/1990),Labourer,The Labour Party members of the 17th Dáil,Labour Panel
Mr. Seán Treacy,(23/09/1923 - ),Boot and Shoe Operative,The Labour Party members of the 17th Dáil,Tipperary South
Mr. James Tully,(18/09/1915 - 20/05/1992),Trade Union Official,The Labour Party members of the 17th Dáil,Meath
