Mr. Robert Childers Barton,(01/01/1881 - 10/08/1975),Farmer,Sinn Féin members of the 1st Dáil,Wicklow West
Mr. Piaras Béaslaí,(15/02/1881 - 22/06/1965),Author,Sinn Féin members of the 1st Dáil,Kerry East
Mr. Ernest Blythe,(13/04/1889 - 23/02/1975),Writer Journalist Theatre Manager,Sinn Féin members of the 1st Dáil,Monaghan North
Mr. Harry Boland,(27/04/1887 - 02/08/1922),Merchant and Tailor,Sinn Féin members of the 1st Dáil,Roscommon South
Mr. Seamus Aloysius Bourke,(14/06/1893 - 01/01/1967),Barrister-at-Law,Sinn Féin members of the 1st Dáil,Tipperary Mid
Mr. Cathal Brugha,(18/07/1874 - 07/07/1922),Company Director,Sinn Féin members of the 1st Dáil,Waterford County
Mr. Donal Buckley,(05/02/1866 - 30/10/1963),Shopkeeper,Sinn Féin members of the 1st Dáil,Kildare North
Mr. J.J. Clancy,( - 01/01/1932),Sinn Féin (Sinn Féin members of the 1st Dáil),Sinn Féin members of the 1st Dáil,Sligo North
Mr. Michael P. Colivet,( - 04/05/1955),Manager Shannon Foundry Limerick.,Sinn Féin members of the 1st Dáil,Limerick City
Mr. Con Collins,,Sinn Féin (Sinn Féin members of the 1st Dáil),Sinn Féin members of the 1st Dáil,Limerick West
Mr. Michael Collins,(16/10/1890 - 22/08/1922),Accountant,Sinn Féin members of the 1st Dáil,Cork South
Mr. William T. Cosgrave,(06/06/1880 - 16/11/1965),Businessman,Sinn Féin members of the 1st Dáil,Kilkenny North
Mr. James Crowley,( - 21/01/1946),Veterinary Surgeon,Sinn Féin members of the 1st Dáil,Kerry North
Mr. John Crowley,( - 01/01/1934),Medical Practitioner,Sinn Féin members of the 1st Dáil,Mayo North
Mr. Bryan Cusack,(02/08/1882 - 24/05/1973),Medical Practitioner,Sinn Féin members of the 1st Dáil,Galway North
Countess Constance Georgina de Markievicz,(04/02/1868 - 15/07/1927),Sinn Féin (Sinn Féin members of the 1st Dáil),Sinn Féin members of the 1st Dáil,Dublin (St Patrick's)
Mr. Liam de Roiste,( - 15/05/1959),Secretary and Director Irish International Trading Corporation Cork. Author.,Sinn Féin members of the 1st Dáil,Cork City
Mr. Eamon de Valera,(14/10/1882 - 29/08/1975),Secondary Teacher,Sinn Féin members of the 1st Dáil,Clare East
Mr. James Nicholas Dolan,( - 14/07/1955),Merchant,Sinn Féin members of the 1st Dáil,Leitrim
Mr. George Gavan Duffy,( - 01/01/1951),Barrister-at-Law,Sinn Féin members of the 1st Dáil,Dublin County South
Mr. Edmund Duggan,( - 06/06/1936),Solicitor,Sinn Féin members of the 1st Dáil,Meath South
Mr. John Etchingham,( - 23/04/1923),Journalist,Sinn Féin members of the 1st Dáil,Wicklow East
Mr. Frank Fahy,( - 14/07/1953),Barrister-at-Law Teacher,Sinn Féin members of the 1st Dáil,Galway South
Mr. Desmond FitzGerald,(13/02/1888 - 09/04/1947),Politician and Philosopher,Sinn Féin members of the 1st Dáil,Dublin (Pembroke)
Mr. Peter Paul Galligan,(20/06/1888 - 14/12/1966),Merchant,Sinn Féin members of the 1st Dáil,Cavan West
Mr. Laurence Ginnell,( - 17/04/1923),Barrister-at-Law and Author,Sinn Féin members of the 1st Dáil,Westmeath
Mr. Arthur Griffith,(31/03/1871 - 12/08/1922),Journalist,Sinn Féin members of the 1st Dáil,Cavan East
Mr. Richard Francis Hayes,( - 01/01/1958),Medical Practitioner Historian Film Censor,Sinn Féin members of the 1st Dáil,Limerick East
Mr. Sean (Cork West) Hayes,,Former Newspaper Editor,Sinn Féin members of the 1st Dáil,Cork West
Mr. Thomas Hunter,( - 11/03/1932),Sinn Féin (Sinn Féin members of the 1st Dáil),Sinn Féin members of the 1st Dáil,Cork North-East
Mr. Thomas Kelly,(13/09/1868 - 20/04/1942),Book and Picture Dealer,Sinn Féin members of the 1st Dáil,Dublin (St. Stephen's Green)
Mr. David Kent,,Sinn Féin (Sinn Féin members of the 1st Dáil),Sinn Féin members of the 1st Dáil,Cork East
Mr. Frank Lawless,( - 16/04/1922),Sinn Féin (Sinn Féin members of the 1st Dáil),Sinn Féin members of the 1st Dáil,Dublin County North
Mr. James Lennon,( - 13/08/1958),Sinn Féin (Sinn Féin members of the 1st Dáil),Sinn Féin members of the 1st Dáil,Carlow
Mr. Dermot Lynch,(10/01/1878 - 09/11/1950),Sinn Féin (Sinn Féin members of the 1st Dáil),Sinn Féin members of the 1st Dáil,Cork South-East
Mr. Fionán Lynch,(17/03/1889 - 03/06/1966),Barrister-at-law,Sinn Féin members of the 1st Dáil,Kerry South
Mr. Joseph Michael MacBride,( - 01/01/1938),Secretary Westport Harbour Commissioners,Sinn Féin members of the 1st Dáil,Mayo West
Mr. Alasdar MacCába,(05/06/1886 - 31/05/1972),Building Society General Manager,Sinn Féin members of the 1st Dáil,Sligo South
Mr. Joseph MacDonagh,( - 25/12/1922),Insurance Broker,Sinn Féin members of the 1st Dáil,Tipperary North
Mr. Seán MacEntee,( - 10/01/1984),Engineer,Sinn Féin members of the 1st Dáil,Monaghan South
Professor Eoin MacNeill,(15/05/1867 - 15/10/1945),University Professor,Sinn Féin members of the 1st Dáil,National University of Ireland
Mr. Terence MacSwiney,( - 24/10/1920),Sinn Féin (Sinn Féin members of the 1st Dáil),Sinn Féin members of the 1st Dáil,Cork Mid
Mr. Pierce McCan,(02/08/1882 - 06/03/1919),Sinn Féin (Sinn Féin members of the 1st Dáil),Sinn Féin members of the 1st Dáil,Tipperary East
Dr. Patrick McCartan,(13/03/1878 - 28/03/1963),Medical Practitioner,Sinn Féin members of the 1st Dáil,King's County
