Mr. Bertie Ahern,(12/09/1951 - ),Full-time Public Representative formerly Accountant,Fianna Fáil members of the 21st Dáil,Dublin (Finglas)
Mrs. Catherine Ita (Kit) Ahern,(13/01/1915 - 27/12/2007),Teacher and County Councillor,Fianna Fáil members of the 21st Dáil,Nominated by the Taoiseach
Mr. Lorcan Allen,(27/03/1940 - ),Farmer,Fianna Fáil members of the 21st Dáil,Wexford
Mr. David Andrews,(15/03/1935 - ),Minister Senior Counsel,Fianna Fáil members of the 21st Dáil,Dún Laoghaire and Rathdown
Mr. Niall Andrews,(19/08/1937 - 16/10/2006),Former RTE Programme Executive,Fianna Fáil members of the 21st Dáil,Dublin County South
Mr. Liam Aylward,(27/09/1952 - ),Full-Time Public Representative formerly Laboratory Technician,Fianna Fáil members of the 21st Dáil,Carlow-Kilkenny
Mr. Sylvester Barrett,(18/05/1926 - 08/05/2002),Auctioneer,Fianna Fáil members of the 21st Dáil,Clare
Mr. Gerard Brady,(01/07/1936 - ),Opthalmic Optician,Fianna Fáil members of the 21st Dáil,Dublin (Rathmines West)
Mr. Vincent Brady,(14/03/1936 - ),Accountant Administrator and Managing Director,Fianna Fáil members of the 21st Dáil,Dublin North Central
Mr. Ben Briscoe,(11/03/1934 - ),Full-Time Public Representative,Fianna Fáil members of the 21st Dáil,Dublin South-West
Mr. Sean Brosnan,(21/12/1916 - 18/04/1979),Barrister-at-Law,Fianna Fáil members of the 21st Dáil,Cork North-East
Mr. Séan Browne,(03/05/1916 - 27/03/1996),Printer,Fianna Fáil members of the 21st Dáil,Wexford
Mr. Raphael P. (Ray) Burke,(30/09/1943 - ),Estate Agent,Fianna Fáil members of the 21st Dáil,Dublin County North
Mr. John Callanan,(20/05/1910 - 15/06/1982),Farmer,Fianna Fáil members of the 21st Dáil,Clare-Galway South
Mr. Sean Calleary,(27/10/1931 - ),Civil Engineer,Fianna Fáil members of the 21st Dáil,Mayo East
Mr. Barry Cogan,(27/09/1936 - ),Television Dealer Company Director formerly Farmer,Fianna Fáil members of the 21st Dáil,Cork Mid
Mr. George Colley,(18/10/1925 - 17/09/1983),Solicitor,Fianna Fáil members of the 21st Dáil,Dublin North-East
Mr. Gerard Collins,(16/10/1938 - ),Vocational Teacher,Fianna Fáil members of the 21st Dáil,Limerick West
Mr. Hugh Conaghan,(06/05/1926 - ),Transport Official.,Fianna Fáil members of the 21st Dáil,Donegal
Mr. Gerard C. Connolly,(16/04/1937 - ),Farmer Auctioneer Businessman and Company Director,Fianna Fáil members of the 21st Dáil,Laoighis-Offaly
Mr. Clement Coughlan,(14/08/1942 - 01/02/1983),National School Teacher,Fianna Fáil members of the 21st Dáil,Donegal
Mr. Bernard F. Cowen,(29/01/1932 - 24/01/1984),Publican.,Fianna Fáil members of the 21st Dáil,Laoighis-Offaly
Mr. Brendan Crinion,(11/09/1923 - 02/07/1989),Farmer,Fianna Fáil members of the 21st Dáil,Kildare
Mr. Jeremiah Cronin,(15/09/1925 - 19/10/1990),Secretary Irish Sugar Beet Growers' Association,Fianna Fáil members of the 21st Dáil,Cork North-East
Mr. Brendan Daly,(02/02/1940 - ),Full-Time Public Representative,Fianna Fáil members of the 21st Dáil,Clare
Mr. Noel Davern,(24/12/1945 - ),Public Representative formerly Farmer Publican and Company Representative,Fianna Fáil members of the 21st Dáil,Tipperary South
Ms. Síle de Valera,(17/12/1954 - ),Public Representative formerly career guidance teacher,Fianna Fáil members of the 21st Dáil,Dublin County Mid
Vivion de Valera,(13/12/1910 - 16/02/1982),Senior Counsel Managing Director Irish Press Ltd,Fianna Fáil members of the 21st Dáil,Dublin North-West
Mr. Sean (Longford-Roscommon) Doherty,(29/06/1944 - 07/06/2005),Full-Time Public Representative Auctioneer,Fianna Fáil members of the 21st Dáil,Roscommon-Leitrim
