Mr. Bernard Allen,(09/09/1944 - ),Full-Time Public Representative formerly Laboratory Technologist,Fine Gael members of the 23rd Dáil,Cork North-Central
Mr. Sean Barrett,(09/08/1944 - ),Public Representative Company Director and Insurance Broker (FLIA),Fine Gael members of the 23rd Dáil,Dún Laoghaire
Ms. Myra Barry,(30/06/1957 - ),National School Teacher,Fine Gael members of the 23rd Dáil,Cork North-East
Mr. Peter Barry,(10/08/1928 - ),Tea Merchant,Fine Gael members of the 23rd Dáil,Cork City South-East
Mr. Michael Begley,(22/08/1932 - ),Carpenter,Fine Gael members of the 23rd Dáil,Kerry South
Mr. George Birmingham,(03/08/1954 - ),Barrister-at-Law,Fine Gael members of the 23rd Dáil,Dublin North Central
Mr. John Boland,(30/11/1944 - 14/08/2000),Full-Time Public Representative,Fine Gael members of the 23rd Dáil,Labour Panel
Mr. John Bruton,(18/05/1947 - ),Public Representative Lawyer Farmer Economist,Fine Gael members of the 23rd Dáil,Meath
Mr. Richard Bruton,(15/03/1953 - ),Full-Time Public Representative formerly Economist,Fine Gael members of the 23rd Dáil,Agricultural Panel
Mr. Liam Burke,(02/02/1928 - 21/08/2005),Full-Time Public Representative Garage Proprietor,Fine Gael members of the 23rd Dáil,Cork City North-West
Mr. Richard Burke,(29/03/1932 - ),Secondary Teacher,Fine Gael members of the 23rd Dáil,Dublin County South
Mr. Donal Carey,(15/10/1937 - ),Full-Time Public Representative formerly Cost Controller,Fine Gael members of the 23rd Dáil,Labour Panel
Mr. Edward Collins,(01/02/1941 - ),Company Director Farmer Exporter.,Fine Gael members of the 23rd Dáil,Waterford
Mr. John Francis. Conlon,(21/05/1928 - 03/12/2004),Grocer and Publican,Fine Gael members of the 23rd Dáil,Industrial and Commercial Panel
Mr. Paul Connaughton,(06/06/1944 - ),Full-Time Public Representative Farmer formerly General Manager Tuam Livestock Mart,Fine Gael members of the 23rd Dáil,Agricultural Panel
Mr. Patrick M. Cooney,(02/03/1931 - ),Solicitor,Fine Gael members of the 23rd Dáil,Longford -Westmeath
Mr. James Corr,(25/01/1934 - ),Teacher,Fine Gael members of the 23rd Dáil,Cork South-Central
Mr. Liam T. (Junior) Cosgrave,(30/04/1956 - ),Solicitor Public Representative,Fine Gael members of the 23rd Dáil,Dún Laoghaire
Mr. Michael Joe Cosgrave,(09/03/1938 - ),Full-Time Public Representative formerly Company Director,Fine Gael members of the 23rd Dáil,Dublin (Clontarf)
Mr. Donal Creed,(07/09/1924 - ),Farm owner,Fine Gael members of the 23rd Dáil,Cork Mid
Mr. Kieran Crotty,(30/08/1930 - ),Baker,Fine Gael members of the 23rd Dáil,Carlow-Kilkenny
Mr. Frank Crowley,(29/05/1939 - ),Full-Time Public Representative,Fine Gael members of the 23rd Dáil,Cork North-West
Mr. Michael D'Arcy,(07/03/1934 - ),Public Representative Farmer,Fine Gael members of the 23rd Dáil,Wexford
Mr. Austin Deasy,(26/08/1936 - ),Full-Time Public Representative formerly Teacher,Fine Gael members of the 23rd Dáil,Nominated by the Taoiseach
Mr. John F. Donnellan,(27/03/1937 - ),Farmer,Fine Gael members of the 23rd Dáil,Galway East
Mr. Alan Dukes,(20/04/1945 - ),Full-Time Public Representative formerly Economist.,Fine Gael members of the 23rd Dáil,Kildare
Mr. Tom.W Enright,(26/07/1940 - ),Public Representative Solicitor.,Fine Gael members of the 23rd Dáil,Laoighis-Offaly
Mr. John V. Farrelly,(04/11/1954 - ),Public Representative Auctioneer,Fine Gael members of the 23rd Dáil,Meath
Nuala Fennell,(25/11/1935 - 11/08/2009),Journalist Author,Fine Gael members of the 23rd Dáil,Dublin South
Mr. Alexis J.G. (Junior) Fitzgerald,(07/05/1945 - ),Public Representative Auctioneer.,Fine Gael members of the 23rd Dáil,Industrial and Commercial Panel
Mr. Garret FitzGerald,(09/02/1926 - ),Lecturer Economist,Fine Gael members of the 23rd Dáil,Industrial and Commercial Panel
Mr. Thomas J. (Cavan) Fitzpatrick,(14/02/1918 - 02/10/2006),Solicitor,Fine Gael members of the 23rd Dáil,Administrative Panel
Ms. Mary Flaherty,(17/05/1953 - ),Secondary School Teacher.,Fine Gael members of the 23rd Dáil,Dublin North-West
Mr. Oliver J. Flanagan,(22/05/1920 - 26/04/1987),Carpenter and Auctioneer,Fine Gael members of the 23rd Dáil,Leix-Offaly
Mr. Brian Fleming,(20/07/1946 - ),Vocational Teacher,Fine Gael members of the 23rd Dáil,Dublin West
Mr. Desmond Governey,(11/09/1920 - ),Businessman,Fine Gael members of the 23rd Dáil,Carlow-Kilkenny
Mr. Brendan Griffin,(28/08/1935 - ),National Teacher,Fine Gael members of the 23rd Dáil,Tipperary South
Mr. Paddy Harte,(26/07/1931 - ),Farmer Butcher,Fine Gael members of the 23rd Dáil,Donegal North-East
Mr. Patrick Hegarty,(26/12/1926 - 31/10/2002),Farmer,Fine Gael members of the 23rd Dáil,Cork North-East
Mrs. Gemma Hussey,(11/11/1938 - ),Public Representative formerly Director of the English Language Institute Dublin,Fine Gael members of the 23rd Dáil,National University of Ireland
