name,party,occupation,constituency
Mr. Ernest Henry Alton,Independent,Teacher,Dublin University
Mr. Michael Brennan,Independent,Farmer,Roscommon
Mr. Alfred Byrne,Independent,Business,Dublin Mid West
Mr. Bryan Ricco Cooper,Independent,Other,Dublin County
Sir James Craig,Independent,Teacher,Dublin University
Mr. John Good,Independent,Business,Dublin County
Mr. Alexander Haslett,Independent,Farmer,Monaghan
Mr. Gilbert Hewson,Independent,,Limerick
Mr. Myles Keogh,Independent,Medical,Dublin South
Major James Sproule (Major) Myles,Independent,Military,Donegal
Mr. John F. O'Hanlon,Independent,Journalist,Cavan
Professor William Edward Thrift,Independent,Teacher,Dublin University
Mr. Jasper Travers Wolfe,Independent,Solicitor,Cork West
Ms. Caitl√≠n Brugha,Sinn Féin,Other,Waterford
Mr. Daniel Corkery,Sinn Féin,,Cork Mid North South South-East West
Mr. David Kent,Sinn Féin,,Cork East
Mr. John Anthony Madden,Sinn Féin,Medical,Mayo North
Mr. Austin Stack,Sinn Féin,,Kerry West
Mr. Oscar Traynor,Sinn Féin,Tradesman,Dublin North
Mr. James Walter Beckett,Cumann na nGaedhael,Tradesman,Dublin South
Mr. George C. Bennett,Cumann na nGaedhael,Farmer,Limerick
Mr. Ernest Blythe,Cumann na nGaedhael,Journalist,Monaghan North
Mr. Seamus Aloysius Bourke,Cumann na nGaedhael,Solicitor,Tipperary Mid
Mr. Sean Broderick,Cumann na nGaedhael,Tradesman,Galway
Mr. John Joseph Byrne,Cumann na nGaedhael,Business,Dublin North
Ms. Margaret Collins-O'Driscoll,Cumann na nGaedhael,Teacher,Dublin North
Mr. Martin Conlon,Cumann na nGaedhael,Business,Roscommon
Mr. William T. Cosgrave,Cumann na nGaedhael,Business,Kilkenny North
Mr. James Crowley,Cumann na nGaedhael,Medical,Kerry North
Mr. Michael Davis,Cumann na nGaedhael,Business,Mayo North
Mr. Eugene Doherty,Cumann na nGaedhael,Public Servant,Donegal
Mr. James Nicholas Dolan,Cumann na nGaedhael,Business,Leitrim
Mr. Peadar S. Doyle,Cumann na nGaedhael,Engineer,Dublin South
Mr. Edmund Duggan,Cumann na nGaedhael,Solicitor,Meath South
Mr. James Dwyer,Cumann na nGaedhael,Farmer,Leix-Offaly
Mr. Barry M. Egan,Cumann na nGaedhael,Business,Cork Borough
Mr. Desmond FitzGerald,Cumann na nGaedhael,Public Servant,Dublin (Pembroke)
Mr. James Fitzgerald-Kenney,Cumann na nGaedhael,Solicitor,Mayo South
Mr. Denis J. Gorey,Cumann na nGaedhael,Farmer,Carlow-Kilkenny
Mr. John J. Hassett,Cumann na nGaedhael,Farmer,Tipperary
Mr. Michael Joseph Hennessy,Cumann na nGaedhael,Business,Cork East and North-East
Mr. Thomas Hennessy,Cumann na nGaedhael,Medical,Dublin South
Mr. John Hennigan,Cumann na nGaedhael,Farmer,Leitrim-Sligo
Mr. Mark Henry,Cumann na nGaedhael,Business,Mayo North
Mr. Patrick J. Hogan,Cumann na nGaedhael,Solicitor,Galway
Mr. Patrick Michael Kelly,Cumann na nGaedhael,Military,Clare
Mr. Hugh Alexander Law,Cumann na nGaedhael,Solicitor,Donegal
Mr. Fion√°n Lynch,Cumann na nGaedhael,Solicitor,Kerry South
Mr. Martin McDonogh,Cumann na nGaedhael,Business,Galway
Mr. Michael √ìg McFadden,Cumann na nGaedhael,Business,Donegal
Mr. Patrick McGilligan,Cumann na nGaedhael,Teacher,National University of Ireland
General Richard Mulcahy,Cumann na nGaedhael,Business,Dublin (Clontarf)
Mr. Joseph Edward Murphy,Cumann na nGaedhael,Tradesman,Louth-Meath
Mr. Martin Nally,Cumann na nGaedhael,Farmer,Mayo South
Mr. Richard O'Connell,Cumann na nGaedhael,Military,Limerick
Mr. Bartholomew O'Connor,Cumann na nGaedhael,Tradesman,Dublin County
Mr. Kevin O'Higgins,Cumann na nGaedhael,Solicitor,Queen's County
Mr. Dermot (Gun) O'Mahony,Cumann na nGaedhael,Farmer,Wicklow
Mr. John Joseph O'Reilly,Cumann na nGaedhael,Medical,Cavan
Mr. Gear√≥id O'Sullivan,Cumann na nGaedhael,Solicitor,Carlow-Kilkenny
Mr. John Marcus O'Sullivan,Cumann na nGaedhael,Teacher,Kerry
Mr. Martin Roddy,Cumann na nGaedhael,Journalist,Leitrim-Sligo
Mr. Patrick Walter Shaw,Cumann na nGaedhael,Business,Longford -Westmeath
Mr. Timothy (Cork) Sheehy,Cumann na nGaedhael,Business,Cork West
Mr. James Joseph Walsh,Cumann na nGaedhael,,Cork City
Dr. Vincent Joseph White,Cumann na nGaedhael,Medical,Waterford-Tipperary East
Mr. George Wolfe,Cumann na nGaedhael,Farmer,Kildare
Mr. Patrick F. Baxter,Farmers Party,Farmer,Cavan
Mr. Michael Carter,Farmers Party,Farmer,Leitrim-Sligo
Mr. Michael Doyle,Farmers Party,Farmer,Wexford
Mr. Thomas Falvey,Farmers Party,Farmer,Clare
Mr. Hugh Garahan,Farmers Party,Farmer,Longford -Westmeath
Mr. Michael Richard Heffernan,Farmers Party,Public Servant,Tipperary
Mr. Richard Holohan,Farmers Party,Farmer,Carlow-Kilkenny
Mr. Timothy Joseph O'Donovan,Farmers Party,Farmer,Cork West
Mr. David Leo O'Gorman,Farmers Party,,Cork East
Mr. Daniel Vaughan,Farmers Party,Farmer,Cork Mid North South South-East West
Mr. John White,Farmers Party,Farmer,Donegal
Mr. Frank Aiken,Fianna Fáil,Farmer,Louth
Mr. Patrick Belton,Fianna Fáil,Farmer,Dublin County
Mr. Neal Blaney,Fianna Fáil,Farmer,Donegal
Mr. Gerald Boland,Fianna Fáil,Engineer,Roscommon
Mr. Patrick Boland,Fianna Fáil,Farmer,Leix-Offaly
Mr. Donal Buckley,Fianna Fáil,Business,Kildare North
