Mr. William Patrick Aird,( - 31/10/1931),Auctioneer Farmer Merchant,Cumann na nGaedhael members of the 6th Dáil,Leix-Offaly
Mr. James Walter Beckett,( - 19/12/1938),Builder,Cumann na nGaedhael members of the 6th Dáil,Dublin South
Mr. George C. Bennett,( - 20/06/1963),Farmer,Fine Gael members of the 6th Dáil,Limerick
Mr. Ernest Blythe,(13/04/1889 - 23/02/1975),Writer Journalist Theatre Manager,Cumann na nGaedhael members of the 6th Dáil,Monaghan North
Mr. Seamus Aloysius Bourke,(14/06/1893 - 01/01/1967),Barrister-at-Law,Cumann na nGaedhael members of the 6th Dáil,Tipperary Mid
Mr. Sean Broderick,(01/01/1890 - 20/08/1953),Building Contractor,Cumann na nGaedhael members of the 6th Dáil,Galway
Mr. John Joseph Byrne,(23/09/1878 - 29/07/1942),Hardware Merchant.,Cumann na nGaedhael members of the 6th Dáil,Dublin North
Mr. Edmond Carey,(06/03/1883 - 26/03/1943),Vintner,Cumann na nGaedhael members of the 6th Dáil,Cork East
Ms. Margaret Collins-O'Driscoll,( - 17/06/1945),School Principal school teacher,Cumann na nGaedhael members of the 6th Dáil,Dublin North
Mr. Martin Conlon,( - 23/01/1966),Dublin Corporation Official Auctioneer,Cumann na nGaedhael members of the 6th Dáil,Roscommon
Mr. Michael J. Connolly,( - 01/01/1945),Merchant and Farmer,Cumann na nGaedhael members of the 6th Dáil,Longford -Westmeath
Mr. Bryan Ricco Cooper,(17/06/1884 - 05/07/1930),Landowner,Cumann na nGaedhael members of the 6th Dáil,Dublin County
Mr. William T. Cosgrave,(06/06/1880 - 16/11/1965),Businessman,Cumann na nGaedhael members of the 6th Dáil,Kilkenny North
Mr. James Crowley,( - 21/01/1946),Veterinary Surgeon,Cumann na nGaedhael members of the 6th Dáil,Kerry North
Mr. John Daly,(23/03/1867 - 23/02/1932),Vintner and Baker,Cumann na nGaedhael members of the 6th Dáil,Cork East
Mr. Michael Davis,( - 30/03/1944),Merchant,Cumann na nGaedhael members of the 6th Dáil,Mayo North
Mr. Peter De Loughry,( - 23/10/1931),Cumann na nGaedhael (Cumann na nGaedhael members of the 6th Dáil),Cumann na nGaedhael members of the 6th Dáil,Elected
Mr. Eugene Doherty,(22/01/1862 - 01/05/1937),Retired Civil Servant,Cumann na nGaedhael members of the 6th Dáil,Donegal
Mr. James Nicholas Dolan,( - 14/07/1955),Merchant,Cumann na nGaedhael members of the 6th Dáil,Leitrim
Mr. Peadar S. Doyle,( - 04/08/1956),Engineer,Cumann na nGaedhael members of the 6th Dáil,Dublin South
Mr. Edmund Duggan,( - 06/06/1936),Solicitor,Cumann na nGaedhael members of the 6th Dáil,Meath South
Mr. James Dwyer,( - 17/12/1932),Farmer and Cattle Exporter,Cumann na nGaedhael members of the 6th Dáil,Leix-Offaly
Mr. Barry M. Egan,( - 03/03/1954),Jeweller,Cumann na nGaedhael members of the 6th Dáil,Cork Borough
Mr. Osmond Thomas Grattan Esmonde,(04/04/1896 - 22/07/1936),Diplomat and Politician,Cumann na nGaedhael members of the 6th Dáil,Wexford
Mr. Thomas Aloysius Finlay,(11/10/1893 - 28/09/1932),Senior Counsel,Cumann na nGaedhael members of the 6th Dáil,Dublin County
Mr. Desmond FitzGerald,(13/02/1888 - 09/04/1947),Politician and Philosopher,Cumann na nGaedhael members of the 6th Dáil,Dublin (Pembroke)
Mr. James Fitzgerald-Kenney,(01/01/1878 - 21/10/1956),Senior Counsel,Cumann na nGaedhael members of the 6th Dáil,Mayo South
Mr. Denis J. Gorey,(25/05/1874 - 20/02/1940),Farmer,Cumann na nGaedhael members of the 6th Dáil,Carlow-Kilkenny
Mr. John J. Hassett,( - 24/11/1955),Farmer,Cumann na nGaedhael members of the 6th Dáil,Tipperary
Mr. Michael Joseph Hennessy,,Insurance Broker and Commercial Agent Peace Commissioner,Cumann na nGaedhael members of the 6th Dáil,Cork East and North-East
Mr. Thomas Hennessy,,Medical Practitioner,Cumann na nGaedhael members of the 6th Dáil,Dublin South
Mr. John Hennigan,,Farmer,Cumann na nGaedhael members of the 6th Dáil,Leitrim-Sligo
Mr. Mark Henry,( - 01/01/1952),Merchant.,Cumann na nGaedhael members of the 6th Dáil,Mayo North
Mr. Patrick J. Hogan,( - 14/07/1936),Solicitor and Farmer,Cumann na nGaedhael members of the 6th Dáil,Galway
Mr. Patrick Michael Kelly,(10/08/1875 - 20/11/1934),Soldier Farmer Politician,Cumann na nGaedhael members of the 6th Dáil,Clare
Mr. Myles Keogh,( - 30/08/1952),Physician and Surgeon,Cumann na nGaedhael members of the 6th Dáil,Dublin South
Mr. Hugh Alexander Law,(01/01/1872 - 01/04/1943),Barrister-at-law,Cumann na nGaedhael members of the 6th Dáil,Donegal
