Mr. Ernest Henry Alton,( - 18/02/1952),University Professor,Independent members of the 6th Dáil,Dublin University
Mr. Michael Brennan,( - 06/10/1970),Farmer,Independent members of the 6th Dáil,Roscommon
Mr. Alfred Byrne,(17/03/1882 - 13/03/1956),Company Director,Independent members of the 6th Dáil,Dublin Mid West
Mr. John James Cole,( - 24/05/1959),Farmer and Auctioneer,Independent members of the 6th Dáil,Cavan
Sir James Craig,( - 12/07/1933),Professor of Medicine,Independent members of the 6th Dáil,Dublin University
Mr. John Good,( - 02/04/1941),Company Director,Independent members of the 6th Dáil,Dublin County
Mr. Alexander Haslett,(02/09/1883 - 17/01/1951),Farmer,Independent members of the 6th Dáil,Monaghan
Mr. Joseph Xavier Murphy,,Company Director,Independent members of the 6th Dáil,Dublin County
Major James Sproule (Major) Myles,( - 13/02/1956),Retired British Army Officer (Major Royal Inniskilling Fusiliers),Independent members of the 6th Dáil,Donegal
Mr. John F. O'Hanlon,(04/11/1872 - 22/12/1956),Journalist,Independent members of the 6th Dáil,Cavan
Professor William Edward Thrift,(28/02/1870 - 23/04/1942),University Professor,Independent members of the 6th Dáil,Dublin University
Mr. Jasper Travers Wolfe,(03/08/1872 - 27/08/1952),Solicitor,Independent members of the 6th Dáil,Cork West
